week,country,channel,converted_users,users_with_cpa,users_missing_cpa,profitable_users,non_profitable_users,pct_profitable_users,total_5week_profit,avg_5week_profit_per_user,total_5week_revenue,cohort_cpa_per_user,cohort_spend
2024-12-30,France,Affiliate,5,0,5,0,0,,,,272.91999999999996,,
2024-12-30,France,Organic,7,0,7,0,0,,,,108.85,,
2024-12-30,France,Paid Search,8,0,8,0,0,,,,66.09,,
2024-12-30,France,Paid Social,9,0,9,0,0,,,,134.17,,
2024-12-30,France,Partnerships,5,0,5,0,0,,,,0.0,,
2024-12-30,Germany,Affiliate,7,0,7,0,0,,,,0.0,,
2024-12-30,Germany,Organic,9,0,9,0,0,,,,166.93,,
2024-12-30,Germany,Paid Search,12,0,12,0,0,,,,569.68,,
2024-12-30,Germany,Paid Social,8,0,8,0,0,,,,0.0,,
2024-12-30,Germany,Partnerships,1,0,1,0,0,,,,0.0,,
2024-12-30,Spain,Affiliate,5,0,5,0,0,,,,182.81,,
2024-12-30,Spain,Organic,6,0,6,0,0,,,,0.0,,
2024-12-30,Spain,Paid Search,9,0,9,0,0,,,,67.41,,
2024-12-30,Spain,Paid Social,8,0,8,0,0,,,,0.0,,
2024-12-30,Spain,Partnerships,5,0,5,0,0,,,,174.06,,
2024-12-30,UK,Affiliate,1,0,1,0,0,,,,0.0,,
2024-12-30,UK,Organic,10,0,10,0,0,,,,0.0,,
2024-12-30,UK,Paid Search,10,0,10,0,0,,,,201.79,,
2024-12-30,UK,Paid Social,12,0,12,0,0,,,,129.67,,
2024-12-30,UK,Partnerships,4,0,4,0,0,,,,144.56,,
2025-01-06,France,Affiliate,15,15,0,0,15,0.0,-14013.809999999996,-934.254,11.29,935.00666666666666,14025.1
2025-01-06,France,Organic,17,17,0,0,17,0.0,-5497.61,-323.38882352941181,62.91,327.08941176470591,5560.52
2025-01-06,France,Paid Search,17,17,0,0,17,0.0,-4945.4000000000015,-290.90588235294121,341.38,310.98705882352942,5286.78
2025-01-06,France,Paid Social,7,7,0,0,7,0.0,-8858.3200000000015,-1265.474285714286,434.63,1327.5642857142859,9292.95
2025-01-06,France,Partnerships,4,4,0,0,4,0.0,-9129.15,-2282.2875,0.0,2282.2875,9129.15
2025-01-06,Germany,Affiliate,8,8,0,0,8,0.0,-7665.2000000000007,-958.15000000000009,212.73,984.74125,7877.93
2025-01-06,Germany,Organic,9,9,0,0,9,0.0,-18908.309999999998,-2100.9233333333332,229.82,2126.4588888888889,19138.13
2025-01-06,Germany,Paid Search,15,15,0,0,15,0.0,-5637.7900000000009,-375.85266666666666,551.33,412.608,6189.12
2025-01-06,Germany,Paid Social,10,10,0,0,10,0.0,-11033.56,-1103.356,0.0,1103.356,11033.56
2025-01-06,Germany,Partnerships,5,0,5,0,0,,,,160.66,,
2025-01-06,Spain,Affiliate,10,0,10,0,0,,,,193.57,,
2025-01-06,Spain,Organic,19,0,19,0,0,,,,0.0,,
2025-01-06,Spain,Paid Search,12,12,0,0,12,0.0,-2283.41,-190.28416666666666,0.0,190.28416666666666,2283.41
2025-01-06,Spain,Paid Social,14,14,0,0,14,0.0,-16256.06,-1161.1471428571429,82.33,1167.0278571428571,16338.39
2025-01-06,Spain,Partnerships,7,7,0,0,7,0.0,-2361.4300000000003,-337.34714285714284,243.45,372.12571428571431,2604.88
2025-01-06,UK,Affiliate,9,9,0,0,9,0.0,-11770.64,-1307.8488888888887,0.0,1307.8488888888887,11770.64
2025-01-06,UK,Organic,15,15,0,0,15,0.0,-5050.6799999999994,-336.71199999999993,470.83,368.10066666666665,5521.51
