week,country,channel,roas,cost_per_conversion,avg_orders_per_user_5w,spend_share_pct,total_5w_revenue,total_spend,converted_users,total_orders_5w,roas_score,order_frequency_score,cpa_score,base_composite_score,adjusted_composite_score,channel_rank,recommendation
2024-12-30,France,Affiliate,,,0.4,,272.92,,5,2,,1.0,,,,1,Scale down / deprioritize
2024-12-30,France,Organic,,,0.2857,,108.85,,7,2,,0.7143,,,,1,Scale down / deprioritize
2024-12-30,France,Paid Search,,,0.125,,66.09,,8,1,,0.3125,,,,1,Scale down / deprioritize
2024-12-30,France,Paid Social,,,0.3333,,134.17,,9,3,,0.8333,,,,1,Scale down / deprioritize
2024-12-30,France,Partnerships,,,0.0,,0.0,,5,0,,0.0,,,,1,Scale down / deprioritize
2024-12-30,Germany,Affiliate,,,0.0,,0.0,,7,0,,0.0,,,,1,Scale down / deprioritize
2024-12-30,Germany,Organic,,,0.3333,,166.93,,9,3,,1.0,,,,1,Scale down / deprioritize
2024-12-30,Germany,Paid Search,,,0.25,,569.68,,12,3,,0.75,,,,1,Scale down / deprioritize
2024-12-30,Germany,Paid Social,,,0.0,,0.0,,8,0,,0.0,,,,1,Scale down / deprioritize
2024-12-30,Germany,Partnerships,,,0.0,,0.0,,1,0,,0.0,,,,1,Scale down / deprioritize
2024-12-30,Spain,Affiliate,,,0.2,,182.81,,5,1,,0.5,,,,1,Scale down / deprioritize
2024-12-30,Spain,Organic,,,0.0,,0.0,,6,0,,0.0,,,,1,Scale down / deprioritize
2024-12-30,Spain,Paid Search,,,0.1111,,67.41,,9,1,,0.2778,,,,1,Scale down / deprioritize
2024-12-30,Spain,Paid Social,,,0.0,,0.0,,8,0,,0.0,,,,1,Scale down / deprioritize
2024-12-30,Spain,Partnerships,,,0.4,,174.06,,5,2,,1.0,,,,1,Scale down / deprioritize
2024-12-30,UK,Affiliate,,,0.0,,0.0,,1,0,,0.0,,,,1,Scale down / deprioritize
2024-12-30,UK,Organic,,,0.0,,0.0,,10,0,,0.0,,,,1,Scale down / deprioritize
2024-12-30,UK,Paid Search,,,0.2,,201.79,,10,2,,0.8,,,,1,Scale down / deprioritize
2024-12-30,UK,Paid Social,,,0.0833,,129.67,,12,1,,0.3333,,,,1,Scale down / deprioritize
2024-12-30,UK,Partnerships,,,0.25,,144.56,,4,1,,1.0,,,,1,Scale down / deprioritize
2025-01-06,France,Paid Search,0.0646,310.99,0.1176,12.21,341.38,5286.78,17,2,1.0,0.4118,1.0,0.8039,0.7235,1,Maintain / optimize
