user_id,conversion_date,channel,country
U00000,2025-04-13,Paid Search,France
U00001,2025-12-15,Organic,Spain
U00002,2025-09-28,Paid Social,UK
U00003,2025-04-17,Paid Social,France
U00004,2025-03-13,Organic,France
U00005,2025-07-08,Affiliate,Spain
U00006,2025-01-21,Affiliate,Germany
U00007,2025-04-13,Partnerships,France
U00008,2025-05-02,Affiliate,Spain
U00009,2025-08-03,Paid Search,Spain
U00010,2025-11-27,Partnerships,France
U00011,2025-03-29,Paid Search,UK
U00012,2025-04-10,Organic,France
U00013,2025-12-26,Organic,Spain
U00014,2025-06-01,Paid Social,France
U00015,2025-05-11,Paid Social,UK
U00016,2025-05-30,Paid Search,Germany
U00017,2025-11-05,Paid Search,Germany
U00018,2025-09-15,Organic,France
U00019,2025-12-10,Paid Search,France
U00020,2025-10-21,Paid Social,Spain
U00021,2025-07-11,Organic,UK
U00022,2025-10-04,Organic,Spain
U00023,2025-06-10,Affiliate,Spain
U00024,2025-11-10,Affiliate,Germany
U00025,2025-01-22,Partnerships,Spain
U00026,2025-09-10,Organic,Spain
U00027,2025-08-24,Affiliate,Germany
U00028,2025-12-11,Affiliate,Germany
U00029,2025-02-18,Paid Search,UK
U00030,2025-02-28,Paid Search,UK
U00031,2025-06-19,Affiliate,UK
U00032,2025-07-07,Organic,France
U00033,2025-09-28,Organic,Germany
U00034,2025-07-09,Organic,France
U00035,2025-06-24,Affiliate,France
U00036,2025-02-20,Organic,UK
U00037,2025-12-30,Organic,Germany
U00038,2025-02-24,Affiliate,France
U00039,2025-09-01,Paid Social,Spain
U00040,2025-11-16,Paid Social,Spain
U00041,2025-05-11,Organic,Germany
U00042,2025-11-03,Paid Social,France
U00043,2025-05-15,Organic,UK
U00044,2025-01-21,Paid Search,France
U00045,2025-11-25,Partnerships,Spain
U00046,2025-06-16,Affiliate,Spain
U00047,2025-10-01,Partnerships,UK
U00048,2025-03-30,Paid Social,Germany
U00049,2025-11-12,Organic,France
U00050,2025-01-14,Affiliate,Spain
U00051,2025-08-30,Paid Social,France
U00052,2025-09-22,Affiliate,UK
U00053,2025-12-12,Paid Social,UK
U00054,2025-02-22,Paid Social,Germany
U00055,2025-12-06,Paid Social,UK
U00056,2025-04-02,Organic,Germany
U00057,2025-09-21,Affiliate,France
U00058,2025-02-04,Partnerships,Spain
U00059,2025-07-25,Paid Social,Spain
U00060,2025-03-22,Paid Social,Germany
U00061,2025-02-19,Organic,Spain
U00062,2025-12-26,Affiliate,Germany
U00063,2025-01-02,Organic,Germany
U00064,2025-02-23,Paid Search,France
U00065,2025-04-16,Paid Search,France
U00066,2025-09-17,Organic,UK
U00067,2025-11-06,Partnerships,Germany
U00068,2025-07-10,Paid Search,France
U00069,2025-08-06,Paid Social,Germany
U00070,2025-02-13,Organic,Germany
U00071,2025-06-11,Paid Social,Germany
U00072,2025-07-21,Partnerships,France
U00073,2025-09-27,Paid Social,Germany
U00074,2025-12-17,Paid Social,Germany
U00075,2025-10-31,Organic,UK
U00076,2025-09-28,Paid Search,Germany
U00077,2025-08-03,Affiliate,UK
U00078,2025-09-09,Organic,Germany
U00079,2025-07-09,Paid Search,UK
U00080,2025-10-23,Paid Social,France
U00081,2025-08-01,Affiliate,France
U00082,2025-07-27,Paid Social,Spain
U00083,2025-08-25,Paid Social,Germany
U00084,2025-12-04,Paid Social,Spain
U00085,2025-02-22,Affiliate,Spain
U00086,2025-10-07,Affiliate,UK
U00087,2025-08-05,Partnerships,France
U00088,2025-09-09,Paid Search,Germany
U00089,2025-07-07,Affiliate,Germany
U00090,2025-02-10,Organic,UK
U00091,2025-06-06,Affiliate,Spain
U00092,2025-01-15,Partnerships,UK
U00093,2025-10-28,Affiliate,Spain
U00094,2025-03-06,Organic,Germany
U00095,2025-12-11,Organic,UK
U00096,2025-11-23,Paid Search,Spain
U00097,2025-01-09,Paid Social,UK
U00098,2025-12-10,Paid Social,France
U00099,2025-05-09,Paid Social,UK
U00100,2025-05-16,Paid Search,Germany
U00101,2025-03-04,Organic,UK
U00102,2025-05-19,Paid Search,Germany
U00103,2025-03-22,Affiliate,Germany
U00104,2025-06-12,Partnerships,UK
U00105,2025-10-16,Paid Search,UK
U00106,2025-09-18,Organic,UK
U00107,2025-08-19,Organic,France
U00108,2025-02-10,Paid Social,France
U00109,2025-01-28,Paid Social,Spain
U00110,2025-05-15,Paid Search,UK
U00111,2025-07-20,Partnerships,Spain
U00112,2025-11-24,Paid Search,Spain
U00113,2025-09-25,Partnerships,Germany
U00114,2025-02-02,Organic,Spain
U00115,2025-02-17,Paid Search,UK
U00116,2025-03-03,Organic,France
U00117,2025-08-04,Paid Search,Spain
U00118,2025-10-20,Organic,Spain
U00119,2025-04-09,Paid Search,France
