order_id,user_id,order_date,revenue
O000000,U04680,2025-07-05,75.56
O000001,U10045,2025-12-28,66.29
O000002,U04595,2025-05-08,262.62
O000003,U00815,2025-12-29,49.16
O000004,U09668,2025-01-11,64.48
O000005,U05612,2025-12-02,116.71
O000006,U02037,2025-08-30,118.78
O000007,U09522,2025-06-30,33.48
O000008,U04875,2025-09-22,26.36
O000009,U07086,2025-07-14,84.66
O000010,U01149,2025-09-03,27.17
O000011,U06408,2025-04-10,125.15
O000012,U00006,2025-02-21,94.07
O000013,U01436,2026-01-06,106.1
O000014,U03250,2026-02-01,84.91
O000015,U07663,2026-01-20,56.03
O000016,U00694,2025-03-16,121.22
O000017,U05087,2026-02-12,119.44
O000018,U03299,2025-05-13,75.88
O000019,U04843,2025-09-13,118.6
O000020,U07737,2025-07-28,111.59
O000021,U04952,2026-02-08,202.61
O000022,U05047,2025-05-23,108.75
O000023,U07842,2025-03-09,100.38
O000024,U00025,2025-02-23,150.97
O000025,U04547,2025-09-24,12.5
O000026,U02153,2026-02-11,33.28
O000027,U08019,2026-01-20,15.4
O000028,U03489,2025-08-30,107.95
O000029,U08523,2025-02-16,117.94
O000030,U05161,2025-04-25,67.16
O000031,U00644,2025-07-15,19.51
O000032,U01852,2025-10-21,128.19
O000033,U07723,2025-05-10,30.12
O000034,U04130,2025-02-14,76.25
O000035,U10623,2025-06-04,55.07
O000036,U03584,2025-11-13,64.42
O000037,U03809,2025-03-23,181.86
O000038,U09002,2025-09-24,137.88
O000039,U01311,2025-06-06,267.88
O000040,U10987,2025-01-25,87.36
O000041,U01894,2025-11-30,70.01
O000042,U06238,2025-07-01,155.8
O000043,U04300,2025-06-23,80.9
O000044,U07788,2025-10-24,177.91
O000045,U06977,2025-02-10,77.75
O000046,U06173,2025-12-23,124.7
O000047,U06409,2026-01-30,85.09
O000048,U02070,2025-10-15,103.53
O000049,U02656,2025-02-18,31.96
O000050,U04134,2025-09-19,229.91
O000051,U04268,2025-09-01,104.92
O000052,U06010,2025-02-26,38.28
O000053,U03484,2025-01-06,366.24
O000054,U00413,2025-02-16,106.69
O000055,U07841,2025-03-04,28.23
O000056,U08883,2026-02-10,88.35
O000057,U10854,2025-03-08,119.47
O000058,U06148,2026-02-07,61.13
O000059,U10890,2025-07-02,54.82
O000060,U04309,2025-06-11,192.98
O000061,U05791,2025-10-24,61.05
O000062,U00919,2025-04-15,99.39
O000063,U00906,2025-09-20,38.33
O000064,U03210,2025-02-26,247.69
O000065,U02719,2025-01-16,58.93
O000066,U04895,2025-02-28,184.55
O000067,U10556,2025-06-15,61.65
O000068,U00792,2026-01-28,70.41
O000069,U08767,2025-09-07,25.78
O000070,U09919,2025-02-03,50.53
O000071,U05543,2025-02-15,109.01
O000072,U03725,2025-10-26,53.58
O000073,U08191,2025-02-16,82.09
O000074,U05161,2026-01-25,163.64
O000075,U01360,2025-09-09,108.02
O000076,U02048,2025-06-15,39.95
O000077,U06252,2026-01-03,134.35
O000078,U06098,2026-01-14,117.38
O000079,U03196,2025-11-13,189.55
O000080,U09279,2025-05-12,51.63
O000081,U00205,2026-01-24,70.34
O000082,U03315,2025-03-11,44.46
O000083,U06733,2025-03-01,128.75
O000084,U08814,2025-07-24,126.58
O000085,U01677,2025-08-26,136.69
O000086,U03012,2025-12-10,64.75
O000087,U10892,2025-12-14,65.15
O000088,U07547,2025-11-29,144.58
O000089,U01871,2025-04-16,192.27
O000090,U08270,2025-07-03,87.46
O000091,U06558,2025-12-04,136.37
O000092,U09668,2025-01-07,81.5
O000093,U04734,2025-01-31,146.1
O000094,U05789,2025-08-04,80.36
O000095,U06934,2025-12-07,103.61
O000096,U03228,2025-10-31,99.44
O000097,U02335,2025-10-25,78.33
O000098,U01725,2025-12-12,184.32
O000099,U05737,2025-10-13,113.36
O000100,U09306,2026-01-08,100.14
O000101,U05985,2025-05-06,60.53
O000102,U07216,2025-02-20,234.31
O000103,U00160,2025-07-09,54.44
O000104,U01425,2025-02-20,39.02
O000105,U01733,2026-01-11,69.24
O000106,U10603,2025-12-31,153.13
